0	佛罗里达洲的台风，太壮观了！！！ 世界搞笑排行榜的微博视频	那一声炸雷劈的我一哆嗦，手机差点摔了;确定不是p的？;转发微博;	rumor	2019/10/16 22:00
101	有段时间没回家，今晚回来看到我房间的防盗网断了两根，旁边还有弯曲变形的现象。希望是台风弄的吧，不然12楼被人为损坏防盗网也怪瘆人的。  原图	nan	non-rumor	2018/9/18 23:59
102	#感恩日志# 好几天没写感恩日志，一个山竹扰乱了生活，今天逐渐进入正常状态1.几天的台风天，人被幸福的困在房间里，好久没尝试过一家人两天足不出户，为家人做三餐，一家人围着看一场电影，一家人围桌吃一餐饭，一家人排队洗澡…感恩所有的遇见，天气没有好坏，只有你的生活是好是坏。感恩台风天辛勤付出的幕后英雄，我的小区没有停水停电，整个深圳都安好。第二天大家调侃着在都市中经历丛林历险记，再坏的天气也阻挡不了深圳人要上班的心，人人都是段子手啊2.今早准时起床画完三幅画，坚持是一件很幸福的事儿，它让我有了很大的力量。感恩自己的坚持。3.工作善于整理和归类，效率提升很多，希望新人快点招到，我还可以做更多有价值的事情。感恩这一段时间，让我脚踏实地的务实，思考。4.晚上回家，没能赶上给孩子做红烧肉，但是儿子作业完成的早，跟他玩了斗牛游戏，帮他的伤口上了药，帮他剪了脚趾甲，拥抱，亲吻他道晚安，在这个家里，儿子很可爱，并不是他需要帮助，而是我这个妈妈好想多给他一些关爱，不知道自己为什么那么爱他，他是个对爱非常敏感的孩子，会观察我的表情，会在我睡着的时候给我盖一个被子，抱他的时候他的脑袋还会在我身上，胳膊上蹭一蹭，他的爱一直在传递给我，我也要传递给他。我的感恩都是鸡毛蒜皮的小事，但是却无处不在，谢谢你，我爱你!周二	好感动;	non-rumor	2018/9/18 23:59
103	傻瓜，你一直都是我的宝                                                ....笨笨love两只鱼                 台风＂山竹＂换来此刻窗外的绵绵小雨，安静的夜空却又夹杂着城市里喧闹的噪音，看似平静的内心早已随着牵挂的思绪游向鱼儿畅游的海洋，那里有温暖、安全、自由和回忆，是鱼儿的天堂和乐园，也是蹦蹦向往却无法到达的地方！或许撕裂的疼痛也不过如此！        三年多来的互相陪伴，蹦蹦一直都处于被动状态，不是她不够爱鱼儿，而是她内心这么多年来一直的恐惧和不安全把她紧紧地吞噬着。是鱼儿一点一点的将她温融化，让蹦蹦真正的感受到了温暖和快乐，她开始依赖开始一天天改变，直到某一天她暗暗告诉自己要和鱼儿一直走到白头，鱼儿就是她的天！........        亲爱的鱼儿，当看到你身体不舒服却不能陪在你身边，蹦蹦心疼！       亲爱的鱼儿，当拥抱你是看到你头上的白发又增加了，蹦蹦心疼！       亲爱的鱼儿，蹦蹦只想在你独处时能静静的陪伴着你，看着你就是幸福！       好想和你说，咱们生个小小鱼吧，下半生就这样在一起，可蹦蹦不能说，蹦蹦知道生活中你承受太多，你不说我不问，心里你是蹦蹦的宝贝！        人就是这样，明明很在乎，却又言语之间相互伤害，其实蹦蹦好想你，真的好爱好爱你        只要你需要我，我便陪在你身边！         鱼儿，我爱你！	nan	non-rumor	2018/9/18 23:59
104	受台风影响，这个24小时叮咚的工地都停工了。  原图	nan	non-rumor	2018/9/18 23:59
105	#绍兴身边事# 这的确是绍兴。近日，受台风影响，嵊州市境内多地下雨，山区云蒸霞蔚，风景秀美壮观。  [组图共2张] 原图	图片评论 评论配图;	non-rumor	2018/9/18 23:59
106	2018年150天瘦身运动倒计时第64天          游泳🏊♀️运动开心！      晚间一次走路2公里，路不好走（台风🌀过境，黄土蔓延，地面狼藉），心里不开心☹️，最后打开音乐一听，瞬间治愈！          原来治愈我的除了吃吃吃还有音乐吖  原图	nan	non-rumor	2018/9/18 23:59
107	【#超强台风利奇马登陆# 风大雨急持续时间长】中央气象台今晨发布台风红色预警，今年第9号台风“利奇马”将于10日凌晨到上午在浙江象山到苍南一带沿海登陆，登陆时强度为强台风级或超强台风级（14～16级，45～52米/秒）；利奇马具有风雨强度大、持续时间长等特点。#新京报直播# 新京报的微博直播 .	【#超强台风利奇马登陆#将持续影响华东华北】今年以来最强台风“利奇马”明天（周日），将在山东半岛再次登陆，“利奇马”登陆后将持续影响华东华北。http://t.cn/AiTWERsE;我们家窗户哐哐响 害怕！好几年没有打这样大的台风了;;	non-rumor	2019/8/9 21:42
108	台风天，发生了很多事情。这暴风雨的洗刷，干净。	nan	non-rumor	2019/8/9 23:59
109	大晚上唠嗑 嗯 画风一路转然后我的整理 路漫漫(;´༎ຶД༎ຶ`) 卧槽真的好多啊我的妈 我只想看视频帮我只想做选择题啊气好了 早上帮辅导员同志拉小推车 嗯 毕竟有一丢丢下雨 后来立马放晴 毕竟要来台风啊 就 嗯 准备一下啦然后天气也是很神奇 反正杭州的天啊 不懂不懂晚上还吃到辅导员送的葡萄吼吼 好甜啊明天台风天吃火锅 嘻嘻	nan	non-rumor	2019/8/9 23:59
110	#利奇马来了##台风利奇马# 这个点儿了我还在关注台风路径这种又怕又期待的感觉是怎么回事？今天的云漂亮的不像话 或许这就是暴风雨前的宁静手机里不停的台风预警 愿一切安好🙏 临沂  显示地图 [组图共4张] 原图	浙江台州现在很慌;;害怕😨;	non-rumor	2019/8/9 23:59
111	台风天出门淋淋雨还是很好的，当然能像《欲望法则》里那样来个街头水疗就更棒啦！	nan	non-rumor	2019/8/9 23:59
112	726—816粉丝毫不知情的拼命jz打投就这么打水漂了nsl@台风蜕变之战  原图	nan	non-rumor	2019/8/9 23:59
113	#利奇马来了#台风来啦回家躲起来啦#插画# 叶汁的微博视频	回复@认真蒋道理:谢谢你喜欢;回复@叶汁:想临摹诶！太好看了;回复@认真蒋道理:哈哈可以啊，你做什么用呐？;	non-rumor	2019/8/9 23:59
114	#浙江台风# 风好大，雨好大，我感到恐惧，不敢入睡	nan	non-rumor	2019/8/9 23:59
115	全世界都在讨论台风，可惜台风吹不到我，蛮想一边单手撑着吹折的伞一边蹬单车，被永远困在这。	nan	non-rumor	2019/8/9 23:59
116	#你亲身经历过的台风#山竹了解一下[加油]	nan	non-rumor	2019/8/9 23:59
117	#李现# 我在无锡的时候，现弟在苏州，我回苏州，现弟去无锡了虽然无缘无份，但是，请多关注作品，远离他的生活吧，保持距离，文明支持他！！！这几天有台风，大家都要注意安全哇这么帅的现弟，注意休息呗 @李现ing  原图	nan	non-rumor	2019/8/9 23:59
118	真的想去跑步锻炼呢，都怪这该死的台风 福州·福建江夏学院  显示地图 [组图共2张] 原图	政治看肖秀荣，他是大佬;回复@你的糖甜不甜吖:;你说啥都有理;	non-rumor	2019/8/9 23:59
119	【#台风利奇马袭来# 上海外滩观景平台全天封闭】台风“利奇马”在浙江登陆后北上，目前上海中心气象局将暴雨预警信号降低为黄色，但上海市台风橙色预警、暴雨黄色预警和雷电黄色预警三预警高挂。受台风影响，今天上海部分公园景区关闭。看直播↓关注！（央视记者张倩） 央视新闻的微博直播 .	前往一线的新闻记者，前往救援一线应急救援人员，愿你们一切平安;安全第一，注意安全！;房子没了可以重建，人一定要平安无事🙏;	non-rumor	2019/8/10 19:56
120	我上传了一个视频 💃💃💃遇到台风去合肥的动车突然停运[捂脸]烈日下各种想办法，最后找到去达州中转的方案，这朵拉的团队，团结，努力，永不放弃，只要干不死，就往死里干！喜欢和这群正能量又优秀的家人在一起！ http	nan	non-rumor	2019/8/10 23:59
121	视频|台风来了 民居旁燃气站被淹 数百煤气罐漂浮水中 http	nan	non-rumor	2019/8/10 23:59
122	台风来前，和老朋友聊天提到频率最高的词，竟然是流量，日活，平台，渠道，模式，天使。  [组图共2张] 原图	nan	non-rumor	2019/8/10 23:59
123	没有小蓝的晚上，就想这么走回去，把鞋淋湿，让沙子跑进脚底，感受一下台风和暴雨。垃圾车整齐地排着队，警车转了一个漂亮的半圆圈，摩托车停在路边，车上是裹着雨衣的外卖小哥或大叔，回头瞅着，可能是担心掉了什么。大的树枝被扯下，直直地横在人行道上，周围躺着受伤的小枝和碎叶，灯光夹在水凹里，散落着。	nan	non-rumor	2019/8/10 23:59
124	身在江苏，外面现在没下雨，不知道明天会怎么样，希望直面台风的地市平安  原始用户	nan	non-rumor	2019/8/10 23:59
125	#利奇马台风灾害救援# 赠人玫瑰，手有余香。我在“紧急驰援利奇马台风灾害”项目捐款成功！愿我和@热心市民暴躁笙笙 让爱心传递。@平澜公益紧急驰援利奇马台风灾害	nan	non-rumor	2019/8/10 23:59
126	#台风利奇马遇难人数#大家平安	nan	non-rumor	2019/8/10 23:59
127	好久没有从头开始接触新的知识体系了我好难什么台风演唱会都忘了关注直到家人和兄弟问起来 我	nan	non-rumor	2019/8/10 23:59
128	嘻嘻台风天摸鱼是很久很久没有摸的鱼了🙈  原图	是照着一张照片临摹的 不是原创哦;	non-rumor	2019/8/10 23:59
129	【正在直播：#台风利奇马今晚登陆山东#】台风利奇马预计11日傍晚到夜间在山东沿海登陆，目前全省普降暴雨，潍坊昌乐累积降雨量最高已超590.5毫米。山东省全力应对台风“利奇马”，气象台全面升级红色预警，各地转移7万余人。@人民日报 联动@闪电新闻 现场直播，一起关注！ 人民日报的微博直播 .	希望昌乐平安，潍坊平安，山东也要平安。;愿一切平安🙏🙏🙏;希望重灾区人民都顺利转移了，愿山东平安;	non-rumor	2019/8/11 17:52
130	因为台风，得以度过一个半工作状态的双休#霍乱时期的爱情♡值得人深入阅读啊~  [组图共3张] 原图	nan	non-rumor	2019/8/11 23:59
131	希望山东平安！希望利奇马可以温柔到达河北！#台风利奇马今晚登陆山东#	nan	non-rumor	2019/8/11 23:59
132	#台风天老么实儿地在家待着#欣赏一下英国瑜伽大师Felix Price的短片，展示瑜伽力量与柔韧性结合之美！🙏#美好瑜伽[超话]##瘦身[超话]#  兰草清茶的微博视频	nan	non-rumor	2019/8/11 23:59
133	台风利奇马来了 滴滴失踪了  美团也不见了 饿了么也不管你饿不饿了[发怒]唯有我们这些做直播运营的人 仍然在坚守工作岗位[奋斗]还是那句话 地球不爆炸 我们不放假 想做主播请找我 不要为难别人👻#招主播##广州招聘[超话]# 广州·广东工业大学龙洞校区  显示地图 原图	nan	non-rumor	2019/8/11 23:59
134	我哥受伤了台风天也依然在坚持开工，我还有什么理由不努力真是比你优秀的人比你还努力	回复@徐小徐呐:我哥依然在努力，而我叫完口号后继续躺尸;你哥要知道你这么以他为榜样会不会感动哭😹;	non-rumor	2019/8/11 23:59
135	日本19号超级台风「海贝思」临近，各地区出现了罕见的粉紫色天空....车站外看过去有如魔界般的景色  [组图共9张] 原图	不怪他们异世界类创作那么多呢;下午回家下了公交拍哒;刚刚看到这个 评论配图;	non-rumor	2019/10/11 22:34
136	大阪台风前 查看图片 //@yosoro_悠	注意安全!!;	non-rumor	2019/10/11 23:59
137	把台风消息发给我爸，我爸跟我说震源在哪里  原图	回复@糸色散:么的意思;回复@法力高强但有特殊爱好:某得 全黑了;哥哥宁好;	non-rumor	2019/10/11 23:59
138	【正在直播：#强台风海贝思登陆日本#】10月12日，据@中央气象台 消息，今年#19号强台风海贝思#登陆日本。日本东京羽田机场、东京成田机场等机场航班都受到不同程度的影响，目前相关暴风已致10多人死伤。#新京报直播#新京报的微博直播	不笑天灾，敬畏大自然，愿无辜民众都平安🙏;希望平安，减少损失🙏🙏;我有个学妹在日本留学 希望她一切都好;	non-rumor	2019/10/12 17:12
139	#日本台风地震火山一起来#卧槽日本要沉了吗 沈阳  显示地图	nan	non-rumor	2019/10/12 23:59
140	#日本台风地震火山一起来#  真没媒体宣传的那么严重体感不如上个月千叶的可怕。火山更是远在鹿儿岛，台风地震主要在东京和千叶，八竿子打不着干嘛说到一起引发恐慌？还不如加上早上千叶的龙卷风和关东各地的洪水呢？正常的钢筋水泥マンション平成年间建的啥事没有远离河堤和塌方就好。一整天有各种来自市区的广播和短信，防灾措施挺完备的对于下午三点还在开的京王线，真的respect	nan	non-rumor	2019/10/12 23:59
141	#日本台风地震火山一起来#今天你们有在日本福冈开演唱会啊，不知道你们有没有事，希望对你们影响不大，要平平安安啊，还有中国的同胞也要平安无事啊，保佑🙏🙏	回复@凝贤L0107:是啊，相信他们没事，保佑;担心的要命啊;	non-rumor	2019/10/12 23:59
142	【速扩！请将这个电话转给在日本的中国公民！】据报道，#强台风海贝思今晚登陆日本#，预计将带来日本近60年来最大的降雨和狂风。此前，中国驻日使馆发出紧急提醒，呼吁赴日游客及定居日本的中国公民注意安全，减少不必要的外出。如遇紧急情况，请记住这个电话：+86-10-12308！#日本台风地震火山一起来#  原图	你的背后是中国！;中国🇨🇳同胞们一定要注意安全🙏🙏🙏;祈福;	non-rumor	2019/10/12 19:32
143	大晚上的，台风问我要了口猫粮，吃完高高兴兴的睡觉了。我，喂，你是只猫不是只猪啊。喂。	nan	non-rumor	2019/10/13 23:59
144	12日傍晚，今年第19号台风“海贝思”在日本静冈县的伊豆半岛登陆，造成大面积破坏。据新华社最新消息，第19号台风“海贝思”过境日本，已导致死亡人数升至33人，另有19人下落不明。希望本次台风的受灾人数和伤亡人数可以少一点吧。@共青团中央 @福建工程学院团委 @软件国际学院团委组织_部	nan	non-rumor	2019/10/13 23:59
145	总觉得...时代少年团好突兀呢。台风少年团这个影子从16年就有了吧我好像还沉浸在18年小t带给我的快乐里呢！你们有多久没见了台风少年团的刘耀文真的回不来了吗我大概是一个认不清现实的人吧  原图	nan	non-rumor	2019/10/13 23:59
146	【直升机救援失误致女子从高空坠亡 东京消防厅致歉】日本共同社报道，13日上午，在日本福岛县磐城市实施的台风“海贝思”救援行动中，东京消防厅直升机救援一名处于孤立状态的77岁女性时，队员忘记把为女性穿戴的装置挂钩扣在绳索上就起吊，导致其从约40米处坠落。该女性在医院死亡。东京消防厅下午在总部大楼召开的记者会上，次长清水洋文道歉称：“非常抱歉。行动中的程序出现了错误。”该厅透露，2名均为32岁的男性队员当时负责救援。他们分别在航空队有1年半和2年半的救援经验。当时采用的方式是用袋状救援装置包裹女性身体，由队员抱着用绳索起吊。 #救援失误东京消防厅致歉##日本救灾直升机失误致人死亡# 原图	nan	non-rumor	2019/10/13 23:58
147	昨天的台风让我对家有了一种新的理解这里像家但不是我家（这里是家，但不是我家）抛开谁家这个前提，包括旅馆，民宿这样的空间。究竟让人感觉到，这里不是我家的，这种心理是人的主观能动性，还是空间带给人的客观感受？亦或是周围环境，其他人的介入给人带来的影响？这会是一种空间心理学么？还是我想多了，，， http	nan	non-rumor	2019/10/13 23:58
148	年初在京都有一整天的空闲，想去富士山。看了看行程，来回要11个小时，遂作罢。想着旅行留点遗憾也是好的，可以下次再去。这次台风过后，富士山上常年的积雪也被吹走了，不知下次再看到积雪的山顶会是何年何月。  [组图共2张] 原图	回复@KarumaAyaneru:年后可以有;故乡随时欢迎你;	non-rumor	2019/10/13 23:58
149	@青飘飘战士正在飘 赵老师真正的台风报道  原始用户	我还是功夫不到家，没有学到精髓;	non-rumor	2019/10/13 23:58
150	还是挺让人叹息的 能预见到台风将至 却还是避免不了伤亡 祝好 同时也能理解日本的危机感为什么这么重  原始用户	nan	non-rumor	2019/10/13 23:58
151	【关键时刻能救命！你必须知道的防灾减灾自救知识】联合国报告显示，过去20年全球因自然灾害造成约130万人死亡。地震、台风等自然灾害随时可能发生，多学一分自救知识就多一份生命保障。高层建筑发生火灾怎样逃生？地震被困如何求救？台风来临怎样避险？今天，#国际减灾日#，实用防灾减灾知识↓转存！  [组图共9张] 原图	【转存！家庭必备应急包，你一定要知道！】①水和食品：每人至少3天，水以每人每天4升标准储存；②应急工具：简易灭火器、应急逃生绳、简易防烟面具、锤子、哨子、手电筒、电池等；③卫生物品及衣物；④急救医药包：药用棉花、绷带、止泻药、退烧片等；⑤特殊物品：婴儿或病人用品等。;转发保存，希望永远都用不上;#国际减灾日#;	non-rumor	2019/10/13 8:00
152	#无锡钱桥着火#最近无锡是出了点事情。可是，火灾也要上热搜我有点无语了。哪个城市火灾不是日常呢，还从没看到过一场普通火灾上热搜呢。然后看到好多无锡挺住，祈福无锡……这会不会太夸张了。无锡一直是个没灾没难，连台风都会拐弯的福地，最近是有点水逆。绷紧安全意识这根弦，让坏事变好事。无锡是个好地方。说无锡危险，要逃离的，赶紧走，不送。 http	爱无锡的人都在维护它，看热闹的不嫌事大，营销号各种带节奏，无锡最近太难了，被揪着小辫子不放了🙏;	non-rumor	2019/10/14 23:59
153	这个月真的很拼 才过去一半不到 已经和上个月一整个月打工时间差不多了 而且要不是因为台风 还能再多五个小时	nan	non-rumor	2019/10/14 23:59
154	今晚阳台风很大 凉嗖嗖 洗澡的时候 很冷 好像冬天的感觉 偶然点开一个群聊 去年创建的  赶紧默默退出 想了好一会 为什么我会在里边 朋友说"去年不一样" 是的是的 never mind又快到了那个冷风吹入骨的冬天了  有些事情变了 有些事情还如初就好 这一年里边发生了太多太多不幸的事情 生命最重要 希望大家都安好 通关打怪兽而已 打不过就继续打 一起加油  大家都可以 我也可以	nan	non-rumor	2019/10/14 23:59
155	台风过后的三亚，如此的阳光绚烂！如此的宁静美好，如此的气势磅礴！让人心情顿时如大海般的宽广舒畅！  #三亚儿童亲子跟拍#  三亚跟拍亲子照全家福约拍 三亚摄影师 旅拍写真约拍情侣照 随拍旅游照 三亚亲子跟拍儿童摄影师 亚龙湾海棠湾跟拍清水湾跟拍英州万宁跟拍石梅湾跟拍陵水香水湾跟拍旅拍(^o^)  [组图共9张] 原图	nan	non-rumor	2019/10/14 23:58
156	我在看：【台风海贝思登陆日本掀起巨浪 画面神似浮世绘名作】#跟新浪看热点#  台风海贝思登陆日本掀起巨浪 画面神似浮世绘名作	nan	non-rumor	2019/10/14 23:58
157	【#日本网友感谢中国海军#感叹：“大国风范”】“慰问台风受灾民众，祝愿灾区早日重建。”这是原本要参加阅舰式的太原舰，通过横幅向日本民众发出的慰问。今天，不少日本网友纷纷为此在社交网络向中国海军致谢。近日，台风“海贝思”登陆日本并引发自然灾害。这句问候和祝福，很暖！（参考消息）  [组图共4张] 原图	天灾无情 人有情 爱不分国界;在YouTube上，韩国网友和日本网友骂的热火朝天，日本网友说韩国网友是一直都是中国人的奴隶。我们只能一边看着他们，不好意思劝架，;08年汶川大地震，我记得日本是第一个派出救援队并且到达的国家。;	non-rumor	2019/10/15 17:45
158	没什么比刚挂失就找到饭卡更悲伤的事情就像松子刚准备开启人生征程反转的绝望哭一哭释放压力倒是好的眼睛清澈的像刚台风过境的日本也是🐂🍺  原图	nan	non-rumor	2019/10/15 23:59
159	刚以为可以休息一下就又开始忙碌啦是要抓紧时间安排好过好当下天气转冷 下着小雨看到你的新消息依然也在努力工作为生活努力为喜欢的努力做喜欢的事 接触不同的人身边靓丽身影不缺 做着闪耀的星星又批着毛茸茸毯子 和身边人一起逛着游乐场我独自在这里为你担心也为你开心去到异国我希望你能享受难得的清净看见台风去到你处 我又焦急盼着你平安台风过后时那里的天空好美 我也希望你能去看看看到让人心疼难过的消息 我又希望你健康安好开心看到你在闪耀处 希望你能瞩目耀眼所向披靡看到你回归日常 希望你无忧无虑也想能够和你共同享受荣誉分担疲惫希望能够陪你登上巅峰也更希望能够撑你渡过低谷希望能够去看看你的世界也希望能够和你一起游玩游乐场想看看你眼里的世界 想看看你	nan	non-rumor	2019/10/15 23:59
160	#刘耀文[超话]#刚又看了出道站的舞台，再次感叹文宝儿的镜头感和台风真的是太棒了，那会儿才十三岁的小朋友啊，希望以后多点舞台，这种宝藏天使就该站在上面闪闪发光啊	nan	non-rumor	2019/10/15 23:57
161	浙江舟山绿城物业，玉兰花园 ，米娜台风无任何抗台预案，置业主的财产和生命与不顾，导致1000户业主的几百辆汽车泡水，保险赔付金额6000多万，舟山全市泡水车1.27亿，占全市一半。目前物业拒绝承担责任，拒绝道歉，拒绝赔偿，令人寒心！相比周围小区，物业一家家通知挪车，泡水车寥寥无几，对比明显。@紫光阁 @崔永元  @绿城宋卫平 @小强热线-浙江教科 @1818黄金眼 @人民网 @CCTV焦点访谈 @全国打黑办 @雪球 @格隆 @桥水基金	nan	non-rumor	2019/10/15 23:56
162	朋友们来找我玩1️⃣甲到了，我们在等甲的女朋友乙，甲给乙订的票，但是乙那里有台风，眼看着就要赶不上动车了，乙就非常小女人的一直给给甲拍外面的风雨，“怎么办走不了，雨太大了，打不到车呀”。2️⃣朋友A到我这里，为了晚上七点给女票接机，然后9点的动车票他俩回家，但是飞机晚点，朋友的女票埋怨A把时间弄的那么紧…我呀！应该注定单身一辈子吧，我是就算有男朋友也会自己给自己订票的人…好心酸，不太会依靠别人 http	空气中弥漫着柠檬的味道。;回复@不减肥永远也不减肥:哈哈;我给你订票，不收手续费;	non-rumor	2019/10/15 23:55
163	srds 我现在还是听不得台风少年团 从即日起 解散 重组这句话  听一次崩一次眼泪刷刷落	。;	non-rumor	2019/10/15 23:55
164	早餐：面包一块午餐：白粥1.5➕炒鸡蛋2颗晚餐：蒸饺15➕辣条2根今晚又没有做keep 因为台风来了 天气很冷不想动 一动身上就臭烘烘的  瘦手臂还是有做一组	nan	non-rumor	2019/10/15 23:55
165	爱德华•诺顿最吸引我的地方其次是那张帅脸（眼睫毛能刮台风更重要的是气质第25小时里面他走向女主角借打火机那一段我真的 特 喜 欢笑起来整个人都可爱了	nan	non-rumor	2019/10/16 23:58
166	#日本核辐射#日本借着台风，故意把2661袋核污染垃圾，通过河流排进海里。大家有没有想过，日本这么做将会影响多少人的生命安全？这种比环境污染更可怕的核污染，西方媒体装死不发声，瑞典环保小公主视而不见，中国公知也都假装没看见，日本人也都沉默不语……未来几年如果有人因为日本的核污染死亡，这些故意装聋作哑的人，才是真正的没有一个是无辜的！！！	我也觉得是故意甩锅给台风，倭寇狡猾的很。;一直吹捧日本人素质高的闸总出来挨打;日本人疯了，我想了解下洋流方向，垃圾往那边飘？;	non-rumor	2019/10/16 23:14
167	涨税就算了因为台风连草莓都要涨价这日子太苦了还能不能好好活了	nan	non-rumor	2019/10/17 23:58
168	没想到这次台风（我个人）看起来最惨的是福岛…………………………唉……………………  [组图共3张] 原图	nan	non-rumor	2019/10/17 23:56
169	台风那天特别担心泛滥。一直被说你在四楼你怕什么，但是一想到中国电视里洪水把楼房都冲倒了就特别害怕😭前辈说如果要冲倒那所有人的房子都要倒，没有可以避难的地方不用担心←	nan	non-rumor	2019/10/17 23:55
170	被港台音乐黄金年代浸染过的人，台风手势都是浓浓90年代的风，台湾的缱绻含蓄缠绵，香港的快活潇洒深情都被吸收了，我们小王真的是宝贝，矛盾被糅合的很好，小王是这一代最会唱情歌最有时代感的歌手😭 微博视频	回复@乒乓不败miss_u:看不出来感冒哇 唱的太好了 他唱老歌太好听了;这一段时间真的太瘦了……还重感冒着……发挥还这么好😭;	non-rumor	2019/10/17 23:55
171	我十分想念去年台风天煮过的很有家的感觉的水煮面，并且从家里顺了一袋挂面准备再煮一次可是一想到吃完要洗碗洗锅就一点也不想煮了......	nan	non-rumor	2019/10/17 23:53
172	补发10月13号，台风后阳光☀️总在风雨后👻👻👻👻❤️早安  [组图共7张] 原图	nan	non-rumor	2019/10/17 23:53
